"movie_id","referenced_id","type"
"81582","21256","Influence"
"81582","10045","Influence"
"81706","1398","Influence"
"81706","75830","Influence"
"81706","985","Influence"
"82166","852","Remake"
"35738","82488","Remake"
"6479","19108","Remake"
"83208","80296","Remake"
"25017","3041","Remake"
"83063","204","Remake"
"33125","85499",\N
"85829","36679",\N
"85887","66039",\N
"86252","86255","Remake"
"86771","6183","Remake"
"9654","10536","Remake"
"58186","81579","Remake"
"66672","14715","Remake"
"9920","10889","Influence"
"27293","11687","Remake"
"88271","5689","Remake"
"88800","86672","SpinOff"
"89468","89467","Remake"
"85472","3530","SpinOff"
"84208","64552","SpinOff"
"7552","86626","Remake"
"11808","5503","SpinOff"
"10988","827","Remake"
"90054","79201","SpinOff"
"84732","6082","SpinOff"
"6430","6082","SpinOff"
"2547","6082","SpinOff"
"90267","90269","SpinOff"
"90269","59702",\N
"16992","16550","SpinOff"
"76602","16550","SpinOff"
"89768","87",\N
"89768","18235",\N
"89768","13191",\N
"88917","3597",\N
"88917","3600",\N
"88917","426",\N
"88917","11455",\N
"2099","984",\N
"15581","4108",\N
"105","10",\N
"105","151",\N
"165","2366",\N
"165","391",\N
"196","32765",\N
"196","5039",\N
"196","391",\N
"8488","9390",\N
"23533","335",\N
"89857","27666",\N
"4327","34165",\N
"9471","955",\N
"9471","90963",\N
"90277","10393",\N
"90277","1089",\N
"90277","10518",\N
"90277","948",\N
"90277","377",\N
"90277","562",\N
"90277","1572",\N
"90279","11455",\N
"90279","730",\N
"90026","251",\N
"90062","6951",\N
"89769","9552",\N
"89769","329",\N
"89769","1709",\N
"89769","244",\N
"90329","1671",\N
"90329","10",\N
"90329","39131",\N
"90329","85",\N
"79446","58374",\N
"9737","10538",\N
"9737","403",\N
"9737","41107",\N
"9737","280",\N
"9737","10117",\N
"9737","34390",\N
"8961","528",\N
"8961","22733",\N
"79449","380",\N
"3563","142",\N
"278","3767",\N
"88232","91079","Remake"
"90063","1858",\N
"90806","8589",\N
"90806","55286",\N
"90281","10911",\N
"89485","2676",\N
"88240","2323",\N
"88240","11036",\N
"90280","15630",\N
"90330","151",\N
"90330","2292",\N
"90330","235",\N
"90330","12",\N
"91167","20477","Remake"
"90282","1885",\N
"4964","9040",\N
"4964","1621",\N
"4964","695",\N
"4964","694",\N
"4964","612",\N
"4964","31917",\N
"4964","10",\N
"4964","2864",\N
"4964","10944",\N
"4964","639",\N
"4964","558",\N
"4964","617",\N
"4964","546",\N
"4964","7340",\N
"4964","559",\N
"4964","10357",\N
"4964","9619",\N
"4964","8656",\N
"4964","95",\N
"4964","12160",\N
"4964","11969",\N
"4964","264",\N
"4964","23139",\N
"4964","11007",\N
"58247","5039",\N
"37643","239",\N
"37643","11888",\N
"90283","566",\N
