"person_id","name"
"5561","Anthony Daisies "
"5563","James Harrison Coburn, Jr."
"5576","Val Edward Kilmer"
"5577","Chris O'Donnell"
"5577","Chris O`Donnell"
"5602","David Keith Lynch"
"5606","Mary Elizabeth Spacek"
"5606","Rainbo"
"5620","Kevin Farley"
"5637","Patrick Süßkind"
"5644","Alexandra Plătăreanu"
"5645","Anke Christina Fischer"
"5646","Justus von Dohnányi"
"5655","Wesley Wales Anderson"
"5680","Gianni Di Venanzo"
"5694","Robert Forster"
"5720","Chris Meledandri"
"5724","Denis Colin Leary"
"5725","Goran Višnjić"
"5726","Cedric Kyles"
"5727","Dietrich Bader"
"5736","Samuel Taylor"
"5763","Jacques Tatischeff"
"5789","Horst Werner Buchholz"
"5793","Lilo Pulver"
"5796","Ralph Wolter"
"5796","Ralph Wolters"
"5797","Karel Frantisek Lifka"
"5806","Daniel Fapp"
"5823","Dame Julie Elizabeth Andrews"
"5823","Julia Elizabeth Wells"
"5824","Dick Van Dyke"
"5847","David Kroß"
"5849","Inanç Oktay Özdemir"
"5850","Kida Khodr Ramadan"
"5888","Nicole deBoer"
"5915","Jamie King"
"5922","Dave Huband"
"5922","Illustrated Men"
"5929","Jon Goulding"
"5945","Robert Bruce Gray"
"5953","Adam Spiegel"
"5958","Hialry Erhard Duff"
"5961","Kerstin Anita Marianne Ekberg"
"5968","Riccardo Garone"
"6008","Harry Julius Shearer"
"6048","Mark R. Gordon"
"6049","Thomas Wander"
"6065","Dennis William Quaid"
"6074","Ken Welsh"
"6081","Anna Janowskaja"
"6081","Anna Yanovskaya"
"6082","Sebastian Schmidtke"
"6082","Sebastian Urzendrowsky"
"6083","Alice Dwyer"
"6083","Alice Deekeling"
